Dag;Pizza;Salad;French;Burger;Hotdog;Soda;Ice Cream;Kebaba;Customer visit;Ukedag
85;1146;892;1275;2180;1066;1103;574;1963;210;Tirsdag
86;1136;904;1280;2185;1063;1085;578;1970;189;Onsdag
87;;;;;;;;;211;Torsdag
88;1164;916;1289;2159;1073;1015;577;2035;251;Fredag
89;1170;922;1317;2163;1074;1017;577;2016;305;Lørdag
90;1215;915;1300;2142;1068;1058;566;1988;278;Søndag
91;1218;910;1295;2127;1062;1074;575;1977;241;Mandag
92;1237;962;1347;2166;1074;1058;577;1995;211;Tirsdag
93;1242;985;1329;2191;1081;1041;576;1991;188;Onsdag
94;1242;1019;1357;2186;1050;1081;594;1972;211;Torsdag
95;1219;1049;1414;2212;1129;1106;601;1920;253;Fredag
96;1196;1104;1505;2277;1173;1128;609;1960;304;Lørdag
97;1169;1138;1567;2327;1231;1084;608;1984;277;Søndag
98;1152;1200;1680;2368;1269;1079;609;1911;242;Mandag
99;1155;1169;1708;2376;1314;1121;608;1911;211;Tirsdag
100;1172;1162;1798;2349;1326;1128;608;1918;188;Onsdag
101;1185;1156;1839;2327;1401;1105;588;1965;211;Torsdag
